상태,STATUS
읽음여부,READ_YN
회사설명,CO_DESCR
타입명,TYPE_NAME
대표전화번호여부,REP_PHONE_NUM_YN
로그,LOG
그룹방생성자,GROUP_THREAD_CREATOR
그룹방아이디,GROUP_THREAD_ID
방번호,THREAD_NUM
버전,VERSION
GEOHASH수렴여부,GEOHASH_CONVERGENCE_YN
회사명수렴여부,CO_NAME_CONVERGENCE_YN
수집된업체아이디,COLLECTED_COMPANY_ID
생성일자,CREATION_DT
시스템번호,SYSTEM_NUM
인덱스,IDX
그룹메시지아이디,GROUP_MSG_ID
방아이디,THREAD_ID
아이피,IP
포트,PORT
분당최대발송건수,MIN_MAX_SEND_CNT
분당발송건수,MIN_SEND_CNT
최대연결단말접속수,MAX_CONN_DEVICE
연결단말접속수,CONN_DEVICE
세션타임아웃,SESSION_TIME
수신버퍼사이즈,RECEIVE_BUF_SIZE
송신버퍼사이즈,SEND_BUF_SIZE
백로그사이즈,BACKLOG_SIZE
사설메시지발송큐사이즈,PRI_MSG_SDQUEUE_SIZE
공인메시지발송큐사이즈,PUBLIC_MSG_SDQUEUE_SIZE
DB적재큐사이즈,DB_STQUEUE_SIZE
GCM재전송수,GCM_RSEND_NUM
APNS재전송수,APNS_RSEND_NUM
최대KEEPALIVE주기,MAX_KEEPALIVE_INR
최소KEEPALIVE주기,MIN_KEEPALIVE_INR
최대연결주기,MAX_CONN_INR
최소연결주기,MIN_CONN_INR
푸시데이터보관주기,PUSH_DATA_SAVE_INR
푸시아이디보관주기,PUSH_ID_SAVE_INR
순서,SEQ
메시지아이디,MSG_ID
레거시메시지아이디,LEGACY_MSG_ID
UMS읽음,UMS_READ
UMS볾,UMS_SEEN
UMS날짜,UMS_DT
UMS보낸날짜,UMS_DATE_SENT
UMS타입,UMS_TYPE
UMS스레드아이디,UMS_THREAD_ID
UMS제목,UMS_SUBJECT
UMS잠금,UMS_LOCKED
UMS만든이,UMS_CREATOR
UMS메시지박스,UMS_MSGBOX
UMS문자만,UMS_TEXT_ONLY
UMS메시지아이디,UMS_MSG_ID
UMS버전,UMS_VERSION
UMSURI,UMS_URI
UMS보낸사람아이디,UMS_SENDER_ID
UMS보낸사람명,UMS_SENDER_NAME
UMS받음,UMS_RECEIVED
UMS카테고리,UMS_CATE
UMS장르별보기,UMS_GENRE
타입,TYPE
마임타입,MIME_TYPE
내용아이디,CONTENT_ID
내용위치,CONTENT_LOCATION
내용성질,CONTENT_DISPOSITION
에러로그,ERROR_LOG
단말아이디,DEVICE_ID
KEEPALIVE주기,KEEPALIVE_INR
연결주기,CONN_INR
최근접속날짜,LATEST_CONN_DT
KEEPALIVE날짜,KEEPALIVE_DT
어드민아이디,ADMIN_ID
내용,CONTENT
업체아이디,COMPANY_ID
생성자,CREATOR
위도범위,LATITUDE_RANGE
경도범위,LONGITUDE_RANGE
KEEPALIVE유지기간,KEEPALIVE_KEEPING_PRD
공인푸시아이디,PUBLIC_PUSH_ID
날짜,DT
서비스,SERVICE
성공건수,SUCCESS_CNT
실패건수,FAIL_CNT
전송건수,TRANSFER_CNT
앱이름,APP_NAME
등록타입,REG_TYPE
앱타입,APP_TYPE
파일명,FILE_NAME
파일UUID,FILE_UUID
파일URL,FILE_URL
패키지명,PACKAGE_NAME
전화번호리스트,MSISDN_LIST
타이틀,TITLE
액션,ACTION
부서,DEPT
서버명,SERVER_NAME
유니크메시지아이디,UMSG_ID
시스템아이디,SYSTEM_ID
서버정보,SERVER_INFO
라이선스키,LICENSE_KEY
라이선스,LICENSE
서비스코드,SERVICE_CODE
이팝콘ID,EPOPCON_ID
단말UUID,DEVICE_UUID
이팝콘ID보관기간,EPOPCON_ID_SAVE_PRD
이팝콘메시지보관기간,EPOPCON_MSG_SAVE_PRD
broadcastAction,BROADCAST
applicationPackageName,APP
어드민명,ADMIN_NAME
메시지발송횟수,MSG_SEND_COUNT
작업DIR,JOB
OS명,OS_NAME
이팝콘ID적재큐사이즈,EPOPCON_ID_STQUEUE_SIZE
서버상태,SERVER_STATUS
등록순서,REG_SEQ
누적전송건수,CUMULATIVE_TRANSFER_CNT
공인푸시아이디적재큐사이즈,PUBLIC_PUSHID_STQUEUE_SIZE
KEEPALIVE적재큐사이즈,KEEPALIVE_STQUEUE_SIZE
이팝콘로긴적재큐사이즈,EPOPCON_LOGIN_STQUEUE_SIZE
푸시발송프로세스수,PUSH_SEND_PROCESS_NUM
적재푸시발송프로세스수,STORED_PSEND_PROCESS_NUM
서버아이디,SERVER_ID
발송에이젼트개수,SEND_AGENT_COUNT
시간,TIME
전체건수,TOTAL_CNT
년도,YEAR
달,MONTH
일,DAY
시,HOUR
메시지DB존재여부,MSG_DB_EXIST_YN
읽음,READ
만든이여부,CREATOR_YN
파일경로,FILE_PATH
변환처리여부,CONV_PROC_YN
헤더,HEADER
콜백여부,CALLBACK_YN
파트유무,IS_PART
업체키,COMPANY_KEY
업체명,COMPANY_NAME
확정여부,CONFIRM_YN
도로주소,ROAD_ADDR
홈페이지,HOMEPAGE
검색키워드,SEARCH_KEYWORD
검색주소,SEARCH_ADDR
카테고리,CATE
구성원검색정보,MEMBER_SEARCH_INFO
일대일여부,ONETONE_YN
로컬방아이디,LOCAL_THREAD_ID
단독여부,ALONE_YN
콜백발생횟수,CALLBACK_OCC_CNT
발생건수,OCC_CNT
대화명,CONVS_NAME
검색URL,SEARCH_URL
업체명확정여부,COMPANY_NAME_CONFIRM_YN
반송여부,SENDBACK_YN
요청횟수,REQ_COUNT
TMS여부,TMS_YN
팔로우여부,FOLLOW_YN
인증레벨,AUTH_LEVEL
인증여부,AUTH_YN
소유자아이디,OWNER_ID
검색업체명,SEARCH_COMPANY_NAME
확정된업체명,CONFIRMED_COMPANY_NAME
카드회사코드,CARD_CO_CODE
태그,TAG
대화명갱신일자,CONVS_NAME_UPT_DT
익명URL,ANON_URL
익명검색URL,ANON_SEARCH_URL
공개여부,OPEN_YN
공개시작일자,OPEN_START_DT
공개종료일자,OPEN_END_DT
엘라스틱아이디,ES_ID
검색요청키워드,SEARCH_REQ_KEYWORD
검색요청해쉬값,SEARCH_REQ_HVAL
검색결과,SEARCH_RESULT
단어,WORD
동의어,SYNONYM
연관어,ASSOCIATED_WORD
사유,REASON
업체등록여부,COMPANY_REG_YN
등록여부,REG_YN
카테고리명,CATE_NAME
카테고리코드,CATE_CODE
친구추천건수,FRIEND_NOMI_CNT
응모권타입,TICKET_TYPE
만료일자,EXP_DT
사용여부,USE_YN
당첨여부,WINNING_YN
응모번호,ENTER_NUM
회차,ROUND
추첨일자,LOTTERY_DT
당첨번호,WINNING_NUM
응모건수,ENTER_CNT
당첨금액,WINNING_AMOUNT
당첨사용자수,WINNING_USER_CNT
응모권정보,TICKET_INFO
당첨정보,WINNING_INFO
응모정보,ENTER_INFO
응모권아이디,TICKET_ID
표제,TITLE
배달여부,DELIVERY_YN
야식여부,NIGHTFOOD_YN
이용정보,UTILIZATION_INFO
영업시간,BUSINESS_TIME
이벤트,EVENT
개인전화번호,PSN_MSISDN
회사전화번호,CO_MSISDN
적용여부,APPLY_YN
응모순서,ENTER_SEQ
이월회차,PASSED_ROUND
당첨건수,WINNING_CNT
추첨회차,LOTTERY_ROUND
발행아이디,PUBLISH_ID
쿠폰제목,COUPON_SUBJECT
발행건수,PUBLISH_CNT
사용건수,USE_CNT
만료건수,EXP_CNT
사용시작,USE_START
사용종료,USE_END
발행타입,PUBLISH_TYPE
발행상태,PUBLISH_STATUS
만료여부,EXP_YN
